BPM
97
98
97
95
94
86
88
84
84
85
85
87
87
85
81
82
85
85
84
84
86
88
88
87
86
85
83
83
82
81
79
79
81
83
81
80
83
87
87
87
86
85
85
85
86
88
89
90
86
86
87
88
87
85
85
86
86
84
84
84
84
84
84
87
89
88
89
89
89
88
86
86
88
98
105
103
92
86
85
85
85
82
79
79
79
79
79
80
80
80
80
82
82
83
84
83
82
84
85
85
85
81
86
87
84
84
84
84
86
85
84
84
85
85
86
86
86
86
89
91
91
92
90
85
83
87
94
90
87
87
87
86
86
94
94
92
90
90
91
93
94
95
95
95
95
93
86
89
90
73
74
75
83
86
92
94
92
90
89
89
88
88
88
88
88
86
86
85
84
84
83
83
84
85
96
89
85
82
82
82
82
84
84
85
84
84
84
84
82
81
81
83
85
84
85
86
83
84
85
85
85
86
86
86
85
85
85
86
86
86
86
83
82
80
78
78
78
79
80
83
84
86
87
88
87
86
83
82
84
84
91
95
97
97
101
102
102
100
97
94
91
77
75
75
75
76
79
82
82
81
81
81
80
79
79
79
79
84
84
84
85
85
87
88
87
86
85
84
83
82
82
83
85
86
86
86
86
90
94
97
89
79
77
76
77
78
79
79
79
81
82
82
80
80
80
80
80
81
83
82
82
82
84
84
84
85
85
84
84
85
86
85
84
84
85
85
86
85
84
85
85
85
86
86
86
85
85
86
87
86
84
84
85
86
84
83
83
85
85
85
85
85
85
86
86
86
85
85
85
85
84
82
82
82
81
80
80
81
81
80
79
80
81
80
79
77
77
78
82
82
82
82
82
84
83
81
80
80
81
81
81
82
82
84
85
83
82
83
84
82
80
80
80
81
82
81
82
82
82
82
83
82
80
85
90
89
85
85
84
83
83
81
81
81
85
85
84
83
85
86
84
84
84
86
85
83
81
81
83
84
82
81
82
85
85
85
83
81
83
84
84
84
84
88
89
90
90
90
95
98
99
98
97
91
87
87
87
89
89
89
90
92
89
87
87
88
90
90
89
87
87
87
89
88
88
89
91
91
90
90
90
92
93
92
91
90
92
94
95
95
93
90
89
89
89
86
86
86
88
87
86
86
88
89
89
87
86
85
84
84
85
85
89
92
95
97
95
94
90
87
86
87
87
87
88
89
96
99
94
90
90
89
88
87
84
81
80
83
85
84
82
82
82
81
81
83
84
82
81
81
81
82
82
83
84
88
89
92
91
88
86
